"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"6/13/07","Puryear, Gustavus Adolphus IV","USDC: Middle District of Tennessee","Q","W. Bush",110
"6/27/07","O'Connor, Reed Charles","USDC: Northern District of Texas","WQ","W. Bush",110
"7/17/07","Conrad, Robert J. Jr. (NC)","Fourth Circuit","WQ","W. Bush",110
"","","","WQ","W. Bush",110
"7/17/07","Haynes, Catharina (TX)","Fifth Circuit","(1 abstention)","W. Bush",110
"7/17/07","Stone, Shalom D. (NJ)","Third Circuit","Qsm/WQmin","W. Bush",110
"7/17/07","Tinder, John Daniel (IN)","Seventh Circuit","WQ","W. Bush",110
"7/18/07","Dow, Robert M. Jr.","USDC: Northern District of Illinois","Qsm/NQmin","W. Bush",110
"","","","Nom Withdrawn","W. Bush",110
"","","","1/23/08","W. Bush",110
"9/6/07","Getchell, E. Duncan Jr. (VA)","Fourth Circuit","NO RATING","W. Bush",110
"9/6/07","Matthews, Steve A. (SC)","Fourth Circuit","Qsm/NQmin","W. Bush",110
"9/6/07","Anderson, Stanley Thomas","USDC: Western District of Tennessee","Q","W. Bush",110
"9/6/07","Mendez, John A.","USDC: Eastern District of California","WQsm/Qmin","W. Bush",110
"10/16/07","Miller, Brian Stacy","USDC: Eastern District of Arkansas","Q","W. Bush",110
"11/15/07","Rosenstein, Rod J. (MD)","Fourth Circuit","WQ","W. Bush",110
"11/15/07","Pratter, Gene E.K. (PA)","Third Circuit","WQ","W. Bush",110
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"11/15/07","Almond, Lincoln D.","USDC: District of Rhode Island","WQ","W. Bush",110
"11/15/07","Davis, Mark S.","USDC: Eastern District of Virginia","WQ","W. Bush",110
"11/15/07","Kays, David Gregory","USDC: Western District of Missouri","Qsm/NQmin","W. Bush",110
"11/15/07","Novak, David J.","USDC: Eastern District of Virginia","WQsm/Qmin","W. Bush",110
"11/15/07","**Short, Carolyn P.","USDC: Eastern District of Pennsylvania","WQ","W. Bush",110
"12/6/07","Smith, William E. (RI)","First Circuit","WQsm/Qmin","W. Bush",110
"12/6/07","Limbaugh, Stephen N. Jr.","USDC: Eastern District of Missouri","WQ","W. Bush",110
"12/11/07","Suddaby, Glenn T.","USDC: Northern District of New York","WQ","W. Bush",110
"12/11/07","Snow, G. Murray","USDC: District of Arizona","WQ","W. Bush",110
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"2/14/08","Lawrence, William T.","USDC: Southern District of Indiana","WQsm/Qmin","W. Bush",110
"2/26/08","Connolly, Colm F.","USDC: District of Delaware","WQ","W. Bush",110
"3/11/08","Matsumoto, Kiyo A.","USDC: Eastern District of New York","WQ","W. Bush",110
"3/11/08","Seibel, Cathy","USDC: Southern District of New York","WQ","W. Bush",110
"","","","WQ","W. Bush",110
"3/13/08","Agee, G. Steven (VA)","Fourth Circuit","(1 abstention)","W. Bush",110
"4/15/08","White, Helene N. (MI)","Sixth Circuit","WQm/Qmin","W. Bush",110
"4/15/08","Murphy, Stephen Joseph III","USDC: Eastern District of Michigan","WQ","W. Bush",110
"4/29/08","Waddoups, Clark","USDC: District of Utah","WQ","W. Bush",110
"4/29/08","Gardephe, Paul G.","USDC: Southern District of New York","WQ","W. Bush",110
"4/30/08","Anello, Michael M.","USDC: Southern District of California","WQ","W. Bush",110
"5/8/08","Conrad, Glen E. (VA)","Fourth Circuit","WQm/Qmin","W. Bush",110
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"6/19/08","O'Neill, Michael","USDC: District of District of Columbia","","W. Bush",110
"6/19/08","Rosen, Jeffrey Adam","USDC: District of District of Columbia","WQ","W. Bush",110
"7/10/08","Arguello, Christine M.","USDC: District of Colorado","Q","W. Bush",110
"7/10/08","Brimmer, Philip A.","USDC: District of Colorado","WQ","W. Bush",110
"7/10/08","Goldberg, Gregory E.","USDC: District of Colorado","Q","W. Bush",110
"7/10/08","Jung, William Frederic","USDC: Middle District of Florida","WQ","W. Bush",110
"7/10/08","Scriven, Mary Stenson","USDC: Middle District of Florida","WQ","W. Bush",110
"7/15/08","Dugan, Timothy G.","USDC: Eastern District of Wisconsin","Q","W. Bush",110
"7/17/08","Trenga, Anthony John","USDC: Eastern District of Virginia","WQ","W. Bush",110
"7/23/08","Melgren, Eric F.","USDC: District of Kansas","WQ","W. Bush",110
"7/23/08","Hernandez, Marco A.","USDC: District of Oregon","Q","W. Bush",110
"7/24/08","Diamond, Paul S. (PA)","Third Circuit","WQ","W. Bush",110
"7/24/08","Goldberg, Mitchell S.","USDC: Eastern District of Pennsylvania","WQ","W. Bush",110
"7/24/08","Jones, C. Darnell II","USDC: Eastern District of Pennsylvania","WQ","W. Bush",110
"7/24/08","Short, Carolyn P.","USDC: Eastern District of Pennsylvania","WQ","W. Bush",110
"7/24/08","Slomsky, Joel H.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",110
"7/31/08","Tharp, John J.  Jr.","USDC: Northern District of Illinois","WQ","W. Bush",110
"7/31/08","Barry, J. Richard","USDC: Southern District of Mississippi","WQm/Qmin","W. Bush",110
"7/31/08","Marcelle, Thomas","USDC: Eastern District of New York","WQm/Qmin","W. Bush",110
"9/9/08","Preska, Loretta A. (NY)","Second Circuit","WQ","W. Bush",110
"9/9/08","Davis, J. Mac","USDC: Western District of Wisconsin","Qm/WQmin","W. Bush",110
"9/26/08","Simon, Philip P.  (ID)","Seventh Circuit","WQ","W. Bush",110
"","","","","Obama",111
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",111
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",111
"","","","","Obama",111
"3/17/09","Hamilton, David F.  (IN)","Seventh Circuit","WQ","Obama",111
"4/2/09","Lynch, Gerard (NY)","Second Circuit","WQ","Obama",111
"4/2/09","Davis, Andre M. (MD)","Fourth Circuit","WQsm/Qmin","Obama",111
"6/1/09","Sotomayor, Sonia","Associate Justice: Supreme Court","WQ","Obama",111
"6/19/09","Greenaway, Joseph A. Jr. (NJ)","Third Circuit","WQ","Obama",111
"6/19/09","Martin, Beverly Baldwin (GA)","Eleventh Circuit","WQ","Obama",111
"6/25/09","Honeywell, Charlene Edwards","USDC: Middle District of Florida","WQ","Obama",111
"6/25/09","Viken, Jeffrey L.","USDC: District of South Dakota","WQsm/Qmin","Obama",111
"7/8/09","Berger, Irene C.","USDC: Southern District of West Virginia","WQ","Obama",111
"7/8/09","Lange, Roberto Antonio","USDC: District of South Dakota","WQ","Obama",111
"7/31/09","Kallon, Abdul K.","USDC: Northern District of Alabama","WQm/Qmin","Obama",111
"7/31/09","Nguyen, Jacqueline H.","USDC: Central District of California","WQ","Obama",111
"8/6/09","Vanaskie, Thomas I. (PA)","Third Circuit","WQ","Obama",111
"8/6/09","Stranch, Jane Branstetter (TN)","Sixth Circuit","Qsm/WQmin","Obama",111
"8/6/09","Chen, Edward Milton (see endnote)","USDC: Northern District of California","WQ","Obama",111
"","","","","Obama",111
"DATE","","COURT TO WHICH","","Obama",111
"NOMINATED","","NOMINATED","","Obama",111
"8/6/09","Gee, Dolly M.","USDC: Central District of California","Q","Obama",111
"8/6/09","Seeborg, Richard","USDC: Northern District of California","WQ","Obama",111
"9/14/09","Keenan, Barbara Milano (VA)","Fourth Circuit","WQ","Obama",111
"9/30/09","Butler, Louis Bennett Jr. (see endnote)","USDC: Western District of Wisconsin","WQ","Obama",111
"10/6/09","Thompson, O. Rogeriee (RI)","First Circuit","Qm/NQmin","Obama",111
"10/6/09","Chin, Denny (NY)","Second Circuit","WQ","Obama",111
"","","","WQ","Obama",111
"10/13/09","Reiss, Christina C.","USDC: District of Vermont","(1 abstention)","Obama",111
"10/13/09","Peterson, Rosanna Malouf","USDC: Eastern District of Washington","Q","Obama",111
"","","","WQ","Obama",111
"10/29/09","Conley, William Martin","USDC: Western District of Wisconsin","(1 abstention)","Obama",111
"","","","WQ","Obama",111
"10/29/09","Jackson, Brian A.","USDC: Middle District of Louisiana","(1 abstention)","Obama",111
"11/4/09","Diaz, Albert (NC)","Fourth Circuit","WQ","Obama",111
"11/4/09","Wynn, James Andrew Jr. (NC)","Fourth Circuit","WQ","Obama",111
"12/3/09","Freudenthal, Nancy D.","USDC: District of Wyoming","WQm/Qmin","Obama",111
"12/3/09","Marshall, Denzil Price Jr.","USDC: Eastern District of Arkansas","WQ","Obama",111
"12/3/09","Pearson, Benita Y.","USDC: Northern District of Ohio","WQsm/Qmin","Obama",111
"12/22/09","Gergel, Richard Mark","USDC: District of South Carolina","WQ","Obama",111
"","","","WQ","Obama",111
"12/22/09","Childs, J. Michelle","USDC: District of South Carolina","(1 abstention)","Obama",111
"12/24/09","Black, Timothy S.","USDC: Southern District of Ohio","WQsm/Qmin","Obama",111
"12/24/09","Navarro, Gloria Maria","USDC: District of Nevada","Qsm/NQmin","Obama",111
"","","","","Obama",111
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",111
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",111
"1/20/10","Butler, Louis Bennett Jr. (see endnote)","USDC: Western District of Wisconsin","WQ","Obama",111
"1/20/10","Chen, Edward Milton (see endnote)","USDC: Northern District of California","WQ","Obama",111
"1/20/10","DeGuilio, Jon E.","USDC: Northern District of Indiana","Q","Obama",111
"1/20/10","Fleissig, Audrey Goldstein","USDC: Eastern District of Missouri","WQ","Obama",111
"1/20/10","Koh, Lucy Haeran","USDC: Northern District of California","Q","Obama",111
"","","","WQsm/Qmin","Obama",111
"1/20/10","Pratt, Tanya Walton","USDC: Southern District of Indiana","(1 abstention)","Obama",111
"1/20/10","Magnus-Stinson, Jane E.","USDC: Southern District of Indiana","WQ","Obama",111
"2/4/10","Foote, Elizabeth Erny","USDC: Western District of Louisiana","Qsm/WQmin","Obama",111
"","","","WQ","Obama",111
"2/4/10","Goldsmith, Mark Allan","USDC: Eastern District of Michigan","(1 abstention)","Obama",111
"2/4/10","Treadwell, Marc Thomas","USDC: Middle District of Georgia","Q","Obama",111
"2/4/10","Tucker, Josephine Staton","USDC: Central District of California","WQm/Qmin","Obama",111
"","Chatigny, Robert Neil (CT)","","","Obama",111
"2/24/10","(see endnote)","Second Circuit","WQ","Obama",111
"","Liu, Goodwin (CA)","","","Obama",111
"2/24/10","(see endnote)","Ninth Circuit","WQ","Obama",111
"2/24/10","Martinez, William Joseph","USDC: District of Colorado","Q","Obama",111
"2/24/10","Feinerman, Gary Scott","USDC: Northern District of Illinois","WQ","Obama",111
"2/24/10","Coleman, Sharon Johnson","USDC: Northern District of Illinois","WQ","Obama",111
"3/3/10","Matheson, Scott Milne Jr. (UT)","Tenth Circuit","Q","Obama",111
"3/10/10","O'Malley, Kathleen (OH)","Federal Circuit","WQ","Obama",111
"3/10/10","Lohier, Raymond Jr. (NY)","Second Circuit","Qsm/NQmin","Obama",111
"3/10/10","Eagles, Catherine C.","USDC: Middle District of North Carolina","WQ","Obama",111
"","","","WQ","Obama",111
"3/10/10","Mueller, Kimberly Jo","USDC: Eastern District of California","(1 abstention)","Obama",111
"","","","Qsm/NQmin","Obama",111
"3/10/10","McConnell,  John J. Jr. (see endnote)","USDC: District of Rhode Island","(3 abstention)","Obama",111
"","","","WQ","Obama",111
"3/17/10","Totenberg, Amy Mil","USDC: Northern District of Georgia","(1 abstention)","Obama",111
"3/17/10","Stark, Leonard P.","USDC: District of Delaware","WQ","Obama",111
"","","","Qsm/WQmin","Obama",111
"3/25/10","Murguia, Mary Helen (AZ)","Ninth Circuit","(1 abstention)","Obama",111
"","","","","Obama",111
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",111
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",111
"4/14/10","DuMont, Edward Carroll (DC)","Federal Circuit","WQ","Obama",111
"4/14/10","Gibney, John Adrian Jr.","USDC: Eastern District of Virginia","Q","Obama",111
"","","","WQ","Obama",111
"4/21/10","Nelson, Susan Richard","USDC: District of Minnesota","(1 abstention)","Obama",111
"4/21/10","Kobayashi, Leslie Emi","USDC: District of Hawaii","WQsm/Qmin","Obama",111
"4/21/10","Hollander, Ellen Lipton","USDC: District of Maryland","WQ","Obama",111
"","","","WQ","Obama",111
"4/21/10","Bredar, James Kelleher","USDC: District of Maryland","(1 abstention)","Obama",111
"4/21/10","Chang, Edmond E-Min","USDC: Northern District of Illinois","Q","Obama",111
"4/28/10","Reeves, Carlton Wayne","USDC: Southern District of Mississippi","Q","Obama",111
"4/28/10","Holmes, Paul K. III","USDC: Western District of Arkansas","WQ","Obama",111
"4/28/10","Casper, Denise Jefferson","USDC: District of Massachusetts","WQ","Obama",111
"","","","WQ","Obama",111
"5/10/10","Kagan, Elena","Associate Justice: Supreme Court","(1 abstention)","Obama",111
"5/20/10","Carney, Susan Laura (CT)","Second Circuit","Qsm/NQmin","Obama",111
"5/20/10","Battaglia, Anthony Joseph","USDC: Southern District of California","WQ","Obama",111
"5/20/10","Davila, Edward John","USDC: Northern District of California","Qsm/NQmin","Obama",111
"5/20/10","Wilkins, Robert Leon","USDC: District of District of Columbia","WQ","Obama",111
"5/27/10","Shadid, James E.","USDC: Central District of Illinois","Qsm/WQmin","Obama",111
"","","","WQm/Qmin","Obama",111
"5/27/10","Cogburn, Max Oliver Jr.","USDC: Western District of North Carolina","(1 abstention)","Obama",111
"","","","Q","Obama",111
"6/10/10","Graves,  James Earl Jr. (MS)","Fifth Circuit","(1 abstention)","Obama",111
"6/17/10","Myerscough, Sue Ellen (see endnote)","USDC: Central District of Illinois","Q","Obama",111
"6/17/10","Jackson, Amy Berman","USDC: District of District of Columbia","WQ","Obama",111
"6/17/10","Boasberg, James Emanuel","USDC: District of District of Columbia","WQ","Obama",111
"7/14/10","Nourse, Victoria Frances (WI)","Seventh Circuit","WQ","Obama",111
"","","","Q","Obama",111
"7/14/10","Hernandez, Marco Antonio","USDC: District of Oregon","(1 abstention)","Obama",111
"","","","WQm/Qmin","Obama",111
"7/14/10","Howell, Beryl Alaine","USDC: District of District of Columbia","(1 abstention)","Obama",111
"7/14/10","Jones, Steve C.","USDC: Northern District of Georgia","WQ","Obama",111
"7/14/10","1Myerscough, Sue Ellen","USDC: Central District of Illinois","Q","Obama",111
"7/14/10","Saldaña, Diana","USDC: Southern District of Texas","WQ","Obama",111
"","","","","Obama",111
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",111
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",111
"","","","WQm/Qmin","Obama",111
"7/14/10","Simon, Michael Howard","USDC: District of Oregon","(1 abstention)","Obama",111
"7/22/10","Williams, Kathleen Mary","USDC: Southern District of Florida","WQsm/Qmin","Obama",111
"7/22/10","Day, Charles Bernard","USDC: District of Maryland","WQ","Obama",111
"7/29/10","Marmolejo, Marina Garcia","USDC: Southern District of Texas","Q","Obama",111
"9/13/10","2Butler, Louis Bennett Jr.","USDC: Western District of Wisconsin","WQ","Obama",111
"9/13/10","3Chatigny, Robert Neil (CT)","Second Circuit","WQ","Obama",111
"9/13/10","4Chen, Edward Milton","USDC: Northern District of California","WQ","Obama",111
"9/13/10","5Liu, Goodwin (CA)","Ninth Circuit","WQ","Obama",111
"","","","Qsm/NQmin","Obama",111
"9/13/10","6McConnell,  John J. Jr.","USDC: District of Rhode Island","(3 abstention)","Obama",111
"9/29/10","Halligan, Caitlin Joan (NY)","DC Circuit","WQ","Obama",111
"9/29/10","Reyna, Jimmie V. (MD)","Federal Circuit","WQ","Obama",111
"9/29/10","Jackson, Richard Brooke","USDC: District of Colorado","WQ","Obama",111
"","","","WQ","Obama",111
"9/29/10","D'Agostino, Mae Avila","USDC: Northern District of New York","(1 abstention)","Obama",111
"11/17/10","Bissoon, Cathy","USDC: Western District of Pennsylvania","Q","Obama",111
"","","","WQ","Obama",111
"11/17/10","Briccetti, Vincent L.","USDC: Southern District of New York","(1 recusal)","Obama",111
"11/17/10","Dalton, Roy Bale Jr.","USDC: Middle District of Florida","WQsm/Qmin","Obama",111
"11/17/10","Darrow, Sara Lynn","USDC: Central District of Illinois","Q","Obama",111
"","","","Qsm/WQmin","Obama",111
"11/17/10","Kronstadt, John A.","USDC: Central District of California","(1 abstention)","Obama",111
"11/17/10","Sharp, Kevin Hunter","USDC: Middle District of Tennessee","Q","Obama",111
"12/1/10","Donald, Bernice Bouie (TN)","Sixth Circuit","WQsm/Qmin","Obama",111
"12/1/10","Allen, Arenda Lauretta Wright","USDC: Eastern District of Virginia","Qsm/WQmin","Obama",111
"12/1/10","Urbanski, Michael Francis","USDC:  Western District of Virginia","WQ","Obama",111
"12/1/10","Cecchi, Claire","USDC: District of New Jersey","Qm/WQmin","Obama",111
"","","","WQ","Obama",111
"12/1/10","Salas, Esther","USDC: District of New Jersey","(1 recusal)","Obama",111
"","","","","Obama",111
"DATE","NAME OF","COURT TO WHICH","ABA","Obama",111
"NOMINATED","NOMINEE","NOMINATED","RATING","Obama",111
"12/1/10","Hornak, Mark Raymond","USDC: Western District of Pennsylvania","WQ","Obama",111
"12/1/10","Mariani, Robert David","USDC: Middle District of Pennsylvania","WQ","Obama",111
"12/1/10","Ross, John Andrew","USDC: Eastern District of Missouri","WQ","Obama",111
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"1/3/13","Bacharach, Robert E. (OK)","Tenth Circuit","WQ","Obama",113
"1/3/13","Halligan, Caitlin Joan (NY)","DC Circuit","WQ","Obama",113
"1/3/13","Kayatta, William J., Jr. (ME)","First Circuit","WQ","Obama",113
"1/3/13(*1/6/2014)","Pryor, Jill A. (GA)","Eleventh Circuit","WQ","Obama",113
"1/3/13","Shwartz, Patty (NJ)","Third Circuit","WQ","Obama",113
"1/3/13","Srinivasan, Srikanth (VA)","DC Circuit","WQ","Obama",113
"1/3/13","Taranto, Richard G. (MD)","Federal Circuit","WQ","Obama",113
"1/3/13","Cadish, Elissa F.","USDC: District of Nevada","Q","Obama",113
"1/3/13","Caproni, Valerie E.","USDC: Southern District of New York","WQ","Obama",113
"1/3/13","Chappell, Sheri P.","USDC: Middle District of Florida","Q","Obama",113
"1/3/13","Chen, Pamela K.","USDC: Eastern District of New York","Q","Obama",113
"1/3/13","Davis, Brian J.","USDC: Middle District of Florida","WQ","Obama",113
"1/3/13","Dick, Shelly D.","USDC: Middle District of Louisiana","smminQ/WQ","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"1/3/13","Dorsey, Jennifer A.","USDC: District of Nevada","smminQ/NQ","Obama",113
"1/3/13","Failla, Katherine P.","USDC: Southern District of New York","mminWQ/Q","Obama",113
"1/3/13","Gonzales, Kenneth J.","USDC: District of New Mexico","Q","Obama",113
"1/3/13","Gordon, Andrew Patrick","USDC: District of Nevada","smminWQ/Q","Obama",113
"1/3/13","Jackson, Ketanji B.","USDC: District of Columbia","Q","Obama",113
"1/3/13(*1/6/2014)","Márquez, Rosemary","USDC: District of Arizona","Q","Obama",113
"1/3/13","McShane, Michael J.","USDC: District of Oregon","mminQ/WQ","Obama",113
"1/3/13","Moore, Raymond P.","USDC: District of Colorado","WQ","Obama",113
"1/3/13","Nunley, Troy L.","USDC: Eastern District of California","mminQ/WQ","Obama",113
"1/3/13","O’Connell, Beverly R.","USDC: Central District of California","WQ","Obama",113
"1/3/13","Orrick, William H. III","USDC: Northern District of California","WQ","Obama",113
"1/3/13","Quiñones Alejandro, Nitza","USDC: Eastern District of Pennsylvania","smminQ/NQ","Obama",113
"1/3/13","Restrepo, Luis F.","USDC: Eastern District of Pennsylvania","WQ","Obama",113
"1/3/13","Roman, Nelson S.","USDC: Southern District of New York","smminWQ/Q","Obama",113
"1/3/13","Schmehl, Jeffrey L.","USDC: Eastern District of Pennsylvania","mminWQ/Q","Obama",113
"1/3/13","Thomas, William L.","USDC: Southern District of Florida","mminWQ/Q","Obama",113
"1/3/13","Torres, Analisa N.","USDC: Southern District of New York","Q","Obama",113
"1/3/13","Watson, Derrick K.","USDC: District of Hawaii","smminWQ/Q","Obama",113
"1/3/13","Barnett, Mark A.","US Court of International Trade","mminWQ/Q","Obama",113
"1/3/13","Kelly, Claire R.","US Court of International Trade","WQ","Obama",113
"1/31/13","Kelly, Jane (IA)","Eighth Circuit","Q","Obama",113
"1/31/13","Phillips, Gregory A. (WY)","Tenth Circuit","WQ","Obama",113
"2/7/13","Chen, Raymond T. (MD)","Federal Circuit","WQ","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"2/11/13","Hughes, Todd M. (DC)","Federal Circuit","Q","Obama",113
"4/15/13","Broderick, Vernon S.","USDC: Southern District of New York","WQ(1 recusal)","Obama",113
"5/6/13","Bruce, Colin Stirling","USDC: Central District of Illinois","Q","Obama",113
"5/6/13","Ellis, Sara Lee","USDC: Northern District of Illinois","smminQ/NQ(1 recusal)","Obama",113
"5/6/13","Wood, Andrea R.","USDC: Northern District of Illinois","mminQ/NQ(1 recusal)","Obama",113
"5/9/13","Haikala, Madeline H.","USDC: Northern District of Alabama","WQ","Obama",113
"5/9/13","Woods, Gregory H.","USDC: Southern District of New York","mminQ/WQ(1 recusal)","Obama",113
"5/16/13","Brown, Debra M.","USDC: Northern District of Mississippi","Q","Obama",113
"5/16/13(*1/6/2014)","Reeves, Pamela L.","USDC: Eastern District of Tennessee","WQ","Obama",113
"5/16/13","Wolford, Elizabeth A.","USDC: Western District of New York","Q(1 recusal)","Obama",113
"5/16/13(*1/6/2014)","McHugh, Carolyn B. (UT)","Tenth Circuit","WQ(1 abstention)","Obama",113
"5/23/13","McCafferty, Landya B.","USDC: District of New Hampshire","WQ","Obama",113
"5/23/13","Morris, Brian","USDC: District of Montana","WQ(1 abstention)","Obama",113
"5/23/13","Watters, Susan P.","USDC: District of Montana","Q(1 abstention)","Obama",113
"6/4/13","Millett, Patricia A. (VA)","DC Circuit","WQ","Obama",113
"6/4/13","Pillard, Cornelia T. L. (DC)","DC Circuit","WQ","Obama",113
"6/4/13","Wilkins, Robert L. (DC)","DC Circuit","WQ","Obama",113
"6/7/13(*1/6/2014)","Brooks, Timothy L.","USDC: Western District of Arkansas","WQ","Obama",113
"6/7/13(*1/6/2014)","Meyer, Jeffrey A.","USDC: District of Connecticut","WQ","Obama",113
"6/20/13(*1/6/2014)","Donato, James J.","USDC: Northern District of California","smminWQ/Q","Obama",113
"6/20/13(*1/6/2014)","Freeman, Beth L.","USDC: Northern District of California","Q","Obama",113
"6/20/13(*1/6/2014)","May-Parker, Jennifer P.","USDC: Eastern District of North Carolina","Q","Obama",113
"6/26/13(*1/6/2014)","Delgado Hernandez, Pedro A.","USDC: District of Puerto Rico","WQ","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"6/26/13(*1/6/2014)","Hendricks, Bruce H.","USDC: District of South Carolina","WQ","Obama",113
"6/26/13(*1/6/2014)","Lee, Alison R.","USDC: District of South Carolina","mminWQ/Q","Obama",113
"7/25/13(*1/6/2014)","Chhabria, Vince G.","USDC: Northern District of California","WQ","Obama",113
"7/25/13(*1/6/2014)","Leitman, Matthew F.","USDC: Eastern District of Michigan","WQ","Obama",113
"7/25/13(*1/6/2014)","Levy, Judith E.","USDC: Eastern District of Michigan","Q","Obama",113
"7/25/13(*1/6/2014)","Michelson, Laurie J.","USDC: Eastern District of Michigan","WQ","Obama",113
"7/25/13(*1/6/2014)","Moody, James M., Jr.","USDC: Eastern District of Arkansas","WQ","Obama",113
"7/25/13(*1/6/2014)","Parker, Linda V.","USDC: Eastern District of Michigan","smminQ/NQ","Obama",113
"8/1/13(*1/6/2014)","Moritz, Nancy L. (KS)","Tenth Circuit","Q","Obama",113
"8/1/13(*1/6/2014)","Friedland, Michelle T. (CA)","Ninth Circuit","WQ(Chair recused)","Obama",113
"8/1/13(*1/6/2014)","Owens, John B. (CA)","Ninth Circuit","WQ(Chair recused)","Obama",113
"8/1/13(*1/6/2014)","Cooper, Christopher R.","USDC: District of Columbia","mminWQ/Q(1 recusal pluschair recused)","Obama",113
"8/1/13(*1/6/2014)","Crabtree, Daniel D.","USDC: District of Kansas","WQ","Obama",113
"8/1/13(*1/6/2014)","Harpool, M. Douglas","USDC: Western District of Missouri","WQ","Obama",113
"8/1/13(*1/6/2014)","Lipman, Sheryl H.","USDC: Western District of Tennessee","mminWQ/Q","Obama",113
"8/1/13(*1/6/2014)","McHugh, Gerald A., Jr.","USDC: Eastern District of Pennsylvania","WQ","Obama",113
"8/1/13(*1/6/2014)","Smith, Edward G.","USDC: Eastern District of Pennsylvania","WQ","Obama",113
"9/19/13(*1/6/2014)","Bashant, Cynthia A.","USDC: Southern District of California","Q","Obama",113
"9/19/13(*1/6/2014)","Bastian, Stanley A.","USDC: Eastern District of Washington","WQ","Obama",113
"9/19/13(*1/6/2014)","Humetewa, Diane J.","USDC: District of Arizona","smminQ/WQ","Obama",113
"9/19/13(*1/6/2014)","Levy, Jon D.","USDC: District of Maine","smminWQ/Q","Obama",113
"9/19/13(*1/6/2014)","Logan, Steven P.","USDC: District of Arizona","WQ","Obama",113
"9/19/13(*1/6/2014)","Rayes, Douglas L.","USDC: District of Arizona","WQ","Obama",113
"DATENOMINATED","NAME OFNOMINEE","COURT TO WHICHNOMINATED","ABARATING","Obama",113
"9/19/13(*1/6/2014)","Shah, Manish S.","USDC: Northern District of Illinois","smminWQ/Q(1 recusal)","Obama",113
"9/19/13(*1/6/2014)","Tuchi, John J.","USDC: District of Arizona","smminWQ/Q","Obama",113
"9/24/13(*1/6/2014)","Barron, Jeremiah D.","First Circuit","smminWQ/Q","Obama",113
"9/24/13(*1/6/2014)","Talwani, Indira","USDC: District of Massachusetts","Q","Obama",113
"9/24/13(*1/6/2014)","Mastroianni, Mark G.","USDC : District of Massachusetts","smminWQ/Q","Obama",113
"9/25/13(*1/6/2014)","Chuang, Theodore D.","USDC: District of Maryland","smminWQ/Q","Obama",113
"9/25/13(*1/6/2014)","Hazel, George J.","USDC: District of Maryland","smminQ/WQ","Obama",113
"11/7/13(*1/6/2014)","Rosenbaum, Robin S. (FL)","Eleventh Circuit","WQ","Obama",113
"11/7/13(*1/6/2014)","Peterson, James D.","USDC: Western District of Wisconsin","WQ","Obama",113
"11/7/13(*1/6/2014)","Rosenstengel, Nancy J.","USDC: Southern District of Illinois","Q","Obama",113
"11/7/13(*1/6/2014)","White, Ronnie L.","USDC: Eastern District of Missouri","Q","Obama",113
"12/19/13(*1/6/2014)","Costa, Gregg Jeffrey (TX)","Fifth Circuit","WQ","Obama",113
"12/19/13(*1/6/2014)","Carnes, Julie E. (GA)","Eleventh Circuit","WQ","Obama",113
"12/19/13(*1/6/2014)","Soto, James Alan","USDC: District of Arizona","Q","Obama",113
"12/19/13(*1/6/2014)","Sorokin, Leo T.","USDC: District of Massachusetts","WQ","Obama",113
"12/19/13(*1/6/2014)","Ross, Eleanor Louise","USDC: Northern District of Georgia","mminQ/NQ","Obama",113
"12/19/13(*1/6/2014)","May, Leigh Martin","USDC: Northern District of Georgia","Q","Obama",113
"12/19/13(*1/6/2014)","Lauck, M. Hannah","USDC: Eastern District of Virginia","WQ","Obama",113
"12/19/13(*1/6/2014)","Cohen, Mark Howard","USDC: Northern District of Georgia","mminQ/WQ","Obama",113
"12/19/13(*1/6/2014)","Chutkan, Tanya S.","USDC: District of Columbia","Q","Obama",113
